Date,Name
22-Sep-2012,Oslo HM
24-Mar-2013,Hastings HM
14-Apr-2013,Holmestrand Maraton
27-Apr-2013,Sentrumslopet 10k
29-May-2013,Fornebulopet 5k
21-Sep-2013,Oslo HM
5-Apr-2014,Holmestrand 10k
26-Apr-2014,Sentrumslopet 10k
20-Sep-2014,Oslo HM
11-Apr-2015,Holmestrand 10k
25-Apr-2015,Sentrumslopet 10k
12-Jul-2015,British 10k
19-Sep-2015,Oslo HM
23-Apr-2016,Sentrumslopet 10k
29-Apr-2017,Sentrumslopet 10k
16-Sep-2017,Oslo Maraton
21-Apr-2018,Sentrumslopet 10k
15-Sep-2018,Oslo HM
27-Apr-2019,Sentrumslopet 10k
21-Sep-2019,Oslo HM
11-Apr-2020,Time trial 5k
25-Apr-2020,Time trial 10k
17-May-2020,17.Mairaton HM
